timestamp_seconds,force_filtered,Time_S,Force_N
0.078255653,0.129968861,0,0.095
0.078348875,0.126270711,0.2,0.296
0.078459501,0.132057068,0.4,0.296
0.078542709,0.136529592,0.6,0.397
0.078626394,0.118935318,0.8,0.296
0.078704119,0.085149555,1,0.196
0.078779459,0.07366164,1.2,0.497
0.078855991,0.104424352,1.4,0.196
0.078926802,0.149435041,1.6,0.296
0.078999758,0.181549976,1.8,0.397
0.079070091,0.212258103,2,0.397
0.079138041,0.251178859,2.2,0.397
0.079210758,0.279859056,2.4,0.296
0.079278231,0.289462187,2.6,0.196
0.079349518,0.288036484,2.8,0.397
0.079416513,0.264714971,3,0.095
0.079482794,0.207182652,3.2,0.296
0.079554081,0.146069706,3.4,0.196
0.079626322,0.123020224,3.6,0.196
0.079698086,0.128880136,3.8,0.497
0.07976532,0.122767478,4,0.196
0.079831839,0.094995364,4.2,0.196
0.079902172,0.071944186,4.4,0.497
0.080010653,0.073853552,4.6,-0.005
0.173649788,0.095090405,4.8,0.397
0.399698496,0.11771155,5,5.321
0.627239227,0.13086604,5.01,6.024
0.846949577,0.135577641,5.21,5.723
1.084127426,0.132217871,5.41,5.522
1.319687128,0.116122722,5.61,5.421
1.541222572,0.092801314,5.81,5.321
1.766147375,0.078351933,6.01,5.12
1.990944624,0.076972712,6.21,5.522
2.235721827,0.078669811,6.41,5.22
2.443201303,0.080705661,6.61,5.22
2.69318223,0.090596123,6.81,5.421
2.904914618,0.111496981,7.01,5.019
3.138183117,0.136444923,7.21,5.12
3.354894876,0.145651013,7.41,4.718
3.594314575,0.12170688,7.61,4.818
3.827925205,0.095251776,7.81,4.818
4.041386366,0.115701492,8.01,4.718
4.282288313,0.124758266,8.21,4.818
4.498099089,0.019822634,8.41,4.718
4.73768568,-0.035581088,8.61,4.718
4.95635438,0.36662421,8.81,4.718
5.198838949,1.345491093,9.01,4.718
5.421769619,2.530589053,9.21,4.818
5.660515547,3.553442313,9.41,4.718
5.868053675,4.359076561,9.61,4.718
6.105895519,4.9457509,9.81,4.718
6.327961683,5.229322052,10.01,4.718
6.550454378,5.25484334,10.21,4.718
6.797968149,5.2205056,10.41,4.718
7.025640488,5.244947596,10.61,4.718
7.230823517,5.293566802,10.81,4.718
7.459013224,5.312966024,11.01,4.718
7.711474657,5.309643508,11.21,4.718
7.939245701,5.309255218,11.41,4.818
8.167030096,5.316826797,11.61,4.718
8.375860214,5.324856183,11.81,4.718
8.606208324,5.328428056,12.01,4.718
8.836833239,5.328165326,12.21,4.818
9.06776762,5.332553589,12.41,4.818
9.303982973,5.354325941,12.61,4.718
9.51511693,5.392741747,12.81,4.718
9.7516675,5.427072464,13.01,4.718
9.989173651,5.44166749,13.21,4.718
10.20218349,5.445669795,13.41,4.818
10.43355656,5.451459448,13.61,4.718
10.67166376,5.451881593,13.81,4.617
10.88186193,5.438088631,14.01,4.617
11.11753917,5.418074802,14.21,4.718
11.35716558,5.401925468,14.41,4.617
11.57061744,5.391367285,14.61,4.718
11.80931807,5.387350669,14.81,4.718
12.02464938,5.388125476,15.01,4.517
12.25880003,5.396457386,15.21,4.718
12.49278331,5.438800705,15.41,4.617
12.72525454,5.532644601,15.61,4.517
12.93210268,5.638438179,15.81,4.718
13.16394806,5.706189913,16.01,4.617
13.40267062,5.733801022,16.21,4.718
13.61750913,5.713402861,16.41,4.718
13.86119676,5.608353659,16.61,4.416
14.07785487,5.450919785,16.81,4.718
14.31124735,5.344956336,17.01,4.617
14.5432303,5.330083595,17.21,4.617
14.77493024,5.361599701,17.41,4.718
14.98385024,5.411804384,17.61,4.617
15.2162044,5.475561389,17.81,4.617
15.45615029,5.52446878,18.01,4.718
15.6732688,5.550170967,18.21,4.718
15.91229272,5.590306852,18.41,4.617
16.12863636,5.656167714,18.61,4.718
16.36023211,5.707987231,18.81,4.416
16.59382367,5.723017691,19.01,4.718
16.82597184,5.712947694,19.21,4.617
17.0368228,5.678416173,19.41,4.617
17.27563834,5.615297769,19.61,4.718
17.49286199,5.550241821,19.81,4.617
17.73194337,5.516374531,20.01,4.718
17.95001912,5.508433825,20.02,4.718
18.18710613,5.495146613,20.22,0.296
18.41964293,5.468254865,20.42,0.296
18.65151882,5.458392473,20.62,0.095
18.85920882,5.488308871,20.82,0.196
19.09148908,5.520963251,21.02,0.296
19.33374619,5.508122156,21.22,-0.005
19.54781103,5.495076181,21.42,0.397
19.78579569,5.556388639,21.62,0.296
19.99946332,5.585303502,21.82,0.296
20.2396071,5.336663945,22.02,0.397
20.47297478,4.740805803,22.22,0.196
20.68311286,3.910475574,22.42,0.397
20.92279363,2.84309609,22.62,0.397
21.15673852,1.54820371,22.82,0.296
21.37347937,0.423329056,23.02,0.296
21.61365676,-0.055973169,23.22,0.296
21.82950139,0.022194154,23.42,0.397
22.06956887,0.168009017,23.62,0.397
22.281991,0.158033415,23.82,0.095
22.51360369,0.123689913,24.02,0.397
22.74594069,0.155163914,24.22,0.397
22.97598314,0.190096307,24.42,-0.005
23.20902777,0.203305995,24.62,0.296
23.42812777,0.245730215,24.82,0.196
23.66842771,0.318828401,,
23.88267374,0.366485902,,
24.12147045,0.373762132,,
24.33319736,0.365893162,,
24.56434393,0.338940461,,
24.79644322,0.280435983,,
