timestamp_seconds,force_filtered,Time_S,Force_N
0.080254793,0.079999999,0,0.196
0.080322266,0.069641196,0.2,0.397
0.08038497,0.109680442,0.4,0.296
0.080444813,0.177586377,0.6,0.397
0.080505848,0.218144501,0.8,0.196
0.080566168,0.220237532,1,0.497
0.080625534,0.209003519,1.2,0.497
0.080696344,0.196990423,1.4,0.296
0.080756426,0.186734041,1.6,0.598
0.080816507,0.185581167,1.8,0.296
0.080876112,0.183474043,2,0.296
0.080935717,0.155160469,2.2,0.397
0.080994844,0.106100875,2.4,0.397
0.081054688,0.073855833,2.6,0.497
0.081112862,0.073435815,2.8,0.296
0.081172228,0.082540765,3,0.095
0.081230402,0.082728689,3.2,0.397
0.081290245,0.07887594,3.4,0.196
0.081349373,0.07879114,3.6,0.296
0.081408978,0.080496316,3.8,0.497
0.081467867,0.08053619,4,0.095
0.081530809,0.079790117,4.2,0.196
0.081589699,0.079767804,4.4,0.196
0.139864206,0.080067518,4.6,0.095
0.336689472,0.080087584,4.8,0.698
0.56082201,0.080028508,5,10.244
0.783880711,0.079996919,5.01,10.244
1.009525776,0.079855901,5.21,9.34
1.250852108,0.079920693,5.41,8.737
1.466866016,0.080358584,5.61,8.737
1.700227499,0.080216124,5.81,8.536
1.913760424,0.079180837,6.01,8.536
2.151306152,0.079498736,6.21,8.737
2.387124062,0.081841928,6.41,8.436
2.59869957,0.081130412,6.61,8.637
2.840082884,0.07587118,6.81,8.637
3.057192087,0.077464791,7.01,8.436
3.275312662,0.089249997,7.21,8.335
3.522733212,0.085676292,7.41,8.235
3.743582249,0.059262654,7.61,8.436
3.963661432,0.0673782,7.81,8.235
4.189478397,0.126910904,8.01,8.235
4.419905424,0.105925395,8.21,8.235
4.645048857,-0.036762201,8.41,8.134
4.876350403,0.08121394,8.61,8.335
5.109549999,0.966974063,8.81,8.034
5.341511726,2.573966107,9.01,8.235
5.555683613,4.355312387,9.21,8.235
5.785448074,5.950683927,9.41,8.034
6.025437355,7.305499508,9.61,8.335
6.257075787,8.258306818,9.81,8.034
6.484872103,8.620635092,10.01,8.134
6.717487812,8.572269251,10.21,8.335
6.923687935,8.501530924,10.41,8.034
7.153265476,8.546867611,10.61,8.235
7.389373541,8.593379066,10.81,8.134
7.622219086,8.585584461,11.01,8.034
7.855821609,8.604939382,11.21,8.335
8.065258026,8.701056482,11.41,8.134
8.295623302,8.811661684,11.61,8.134
8.526133537,8.864943882,11.81,8.335
8.75674057,8.871571314,12.01,8.034
8.996554136,8.879385045,12.21,8.235
9.21560359,8.898003562,12.41,8.335
9.440932512,8.91098104,12.61,8.034
9.666280031,8.919441716,12.81,8.335
9.892605066,8.936092552,13.01,8.034
10.11855888,8.959724114,13.21,8.134
10.35747719,8.978010587,13.41,8.335
10.57909584,8.986133642,13.61,8.034
10.82046843,8.992370725,13.81,8.134
11.04803205,9.00519843,14.01,8.235
11.25662732,9.021306074,14.21,8.034
11.4916811,9.033372124,14.41,8.034
11.72349977,9.042090176,14.61,8.034
11.95560431,9.050224361,14.81,8.034
12.18974996,9.055659019,15.01,8.134
12.41859078,9.060979543,15.21,7.933
12.64500356,9.076294342,15.41,7.933
12.87229633,9.102249624,15.61,8.034
13.07934141,9.122796083,15.81,7.933
13.311306,9.123788266,16.01,7.933
13.54619813,9.110563044,16.21,8.034
13.7808125,9.098803291,16.41,7.933
14.01186299,9.091608397,16.61,8.034
14.23955154,9.079360243,16.81,7.933
14.46850252,9.065967173,17.01,7.933
14.69505095,9.073361784,17.21,8.034
14.91933727,9.106770058,17.41,7.933
15.14487791,9.140372634,17.61,7.933
15.38001251,9.157138088,17.81,7.933
15.5907371,9.178351255,18.01,7.933
15.82706285,9.227540206,18.21,7.933
16.06465054,9.286590261,18.41,7.933
16.29280162,9.318679256,18.61,7.933
16.50173736,9.317089283,18.81,7.933
16.72907209,9.302529898,19.01,7.933
16.95625472,9.29097403,19.21,8.034
17.18562126,9.288351096,19.41,8.034
17.42148161,9.298598783,19.61,7.933
17.65574765,9.318517069,19.81,8.034
17.88953662,9.335961811,20.01,7.933
18.10236931,9.342428956,20.02,7.933
18.32965994,9.346792387,20.22,0.698
18.55882454,9.374433862,20.42,0.296
18.78939772,9.430746415,20.62,-0.005
19.01560831,9.458995969,20.82,0.296
19.24820876,9.408103756,21.02,0.095
19.48401546,9.37121473,21.22,0.296
19.69407558,9.474697116,21.42,0.397
19.93213844,9.524692666,21.62,0.296
20.16239572,9.063525825,21.82,0.397
20.39030004,7.93725326,22.02,0.397
20.61899114,6.39482719,22.22,0.397
20.84747124,4.570413665,22.42,0.397
21.07874894,2.533407907,22.62,0.296
21.28849673,0.823079791,22.82,0.296
21.52241921,0.073255047,23.02,0.497
21.75794125,0.137025361,23.22,0.497
21.99226761,0.321618022,23.42,0.296
22.20466971,0.303868638,23.62,0.497
22.43278408,0.226593511,23.82,0.296
22.66076136,0.188255065,24.02,0.397
22.88949776,0.137570941,24.22,0.497
23.11841941,0.07826362,24.42,0.296
23.3531971,0.062908216,24.62,0.598
23.58800864,0.080416842,24.82,0.397
23.8015666,0.087367788,,
24.03624105,0.079864569,,
24.26635814,0.076547004,,
24.49540639,0.079976722,,
24.72257471,0.081937751,,
24.95266867,0.080196788,,
