timestamp_seconds,force_filtered,Time_S,Force_N
0.070338964,0.130030857,0,0.196
0.070450783,0.128290508,0.2,0.397
0.070519924,0.128923636,0.4,0.095
0.070594788,0.133056009,0.6,0.497
0.070669174,0.133081629,0.8,0.095
0.070735216,0.117904346,1,0.296
0.070812464,0.092202396,1.2,0.397
0.07087636,0.07585712,1.4,0.196
0.070946932,0.077726236,1.6,0.397
0.071020842,0.083837652,1.8,0.296
0.071086645,0.079288446,2,0.296
0.07116437,0.073169639,2.2,0.397
0.071228266,0.089338263,2.4,0.196
0.071297169,0.130710786,2.6,0.296
0.071369886,0.169800411,2.8,0.296
0.071434021,0.184911889,3,-0.005
0.071517229,0.184107365,3.2,0.397
0.071586847,0.180124517,3.4,0.296
0.071657658,0.168205183,3.6,0.095
0.071730852,0.144609657,3.8,0.397
0.071795702,0.123989535,4,0.095
0.071873903,0.123969765,4.2,0.296
0.071943045,0.144123604,4.4,0.196
0.121436119,0.167772239,4.6,0.196
0.31795311,0.181419173,4.8,2.105
0.545897722,0.185298882,5,17.178
0.78066206,0.181698712,5.01,17.58
1.022720814,0.166811536,5.21,17.479
1.224463224,0.143643488,5.41,17.077
1.448974371,0.126762819,5.61,16.776
1.690339327,0.125212041,5.81,16.776
1.908521891,0.132692618,6.01,16.776
2.132906914,0.135035601,6.21,16.776
2.36440444,0.120187482,6.41,16.475
2.593314171,0.090443945,6.61,16.676
2.825608969,0.070096743,6.81,16.676
3.063117743,0.08049686,7.01,16.374
3.278664589,0.097011288,7.21,16.776
3.520372391,0.073802933,7.41,16.575
3.733834743,0.043969796,7.61,16.374
3.972006798,0.09627166,7.81,16.776
4.205965519,0.160159266,8.01,16.274
4.423441172,0.033832209,8.21,16.374
4.643093109,-0.108757981,8.41,16.274
4.890399456,0.456702954,8.61,16.173
5.110501766,2.225909263,8.81,15.972
5.335147619,4.834653239,9.01,16.073
5.572702646,7.634170064,9.21,16.073
5.794840097,10.37192902,9.41,16.073
6.023431778,12.82965401,9.61,15.972
6.239295483,14.46874579,9.81,15.972
6.487550974,15.03608193,10.01,15.972
6.709470272,15.01809274,10.21,15.972
6.940167427,15.05625435,10.41,15.972
7.170310259,15.2875319,10.61,15.972
7.376979589,15.49966089,10.81,15.972
7.615558386,15.58580384,11.01,15.972
7.852066755,15.61174264,11.21,15.972
8.086103439,15.62991711,11.41,16.073
8.299642563,15.62373999,11.61,15.972
8.540017843,15.587066,11.81,15.972
8.751362324,15.55653614,12.01,15.972
8.988082886,15.56791446,12.21,15.972
9.2011199,15.61673405,12.41,16.073
9.444253922,15.66529173,12.61,15.972
9.660865068,15.68745443,12.81,15.972
9.90301466,15.7000539,13.01,15.972
10.12275314,15.73314069,13.21,15.972
10.35855222,15.78439862,13.41,15.972
10.57071543,15.8301609,13.61,15.972
10.80620909,15.86198291,13.81,15.972
11.02532864,15.88518823,14.01,15.872
11.26974082,15.89977421,14.21,15.972
11.49052262,15.90307265,14.41,15.671
11.70877671,15.89930323,14.61,15.972
11.95495391,15.89814388,14.81,15.872
12.17888308,15.91039496,15.01,15.771
12.41681838,15.9414548,15.21,15.972
12.63283825,15.98205406,15.41,15.771
12.85170698,16.0129717,15.61,15.671
13.09600997,16.02457402,15.81,15.972
13.31430364,16.02385502,16.01,15.671
13.53809452,16.0227808,16.21,15.872
13.78350806,16.03016202,16.41,15.872
14.00668502,16.04904761,16.61,15.671
14.22317529,16.0709494,16.81,15.972
14.46229148,16.08188451,17.01,15.771
14.67645764,16.08116321,17.21,15.671
14.90595126,16.08146485,17.41,15.972
15.13720489,16.08758084,17.61,15.771
15.37225103,16.09095446,17.81,15.872
15.60671139,16.08956694,18.01,15.872
15.81852031,16.09892129,18.21,15.671
16.05651855,16.13294787,18.41,15.972
16.29000449,16.18049119,18.61,15.872
16.49735999,16.21434733,18.81,15.671
16.72612119,16.2235669,19.01,15.972
16.9594264,16.22146886,19.21,15.771
17.19732594,16.21999336,19.41,15.872
17.41648936,16.21745196,19.61,15.872
17.65887165,16.21782877,19.81,15.57
17.87701011,16.23385219,20.01,15.972
18.09993219,16.25589502,20.02,15.972
18.33090782,16.25502596,20.22,1
18.56631804,16.24354439,20.42,0.397
18.79840446,16.26949598,20.62,0.196
19.01473069,16.29890652,20.82,0.296
19.23317337,16.23198223,21.02,0.196
19.47587538,16.15462069,21.22,0.095
19.69284177,16.30519961,21.42,0.397
19.94100499,16.48202653,21.62,0.397
20.15958691,15.85974105,21.82,0.296
20.3923831,13.90188208,22.02,0.397
20.60732841,11.0282795,22.22,0.196
20.84289503,7.902158703,22.42,0.397
21.07924867,4.763729287,22.62,0.397
21.3005569,1.976446987,22.82,0.196
21.5190258,0.288066267,23.02,0.397
21.75711012,-0.086349685,23.22,0.095
21.97867227,0.131527546,23.42,0.196
22.21480227,0.214176311,23.62,0.397
22.44008493,0.1248905,23.82,0.095
22.67251611,0.104866917,24.02,0.296
22.88303852,0.166553041,24.22,0.397
23.11492038,0.197728783,24.42,0.196
23.34820366,0.188342313,24.62,0.497
23.58361244,0.177322886,24.82,0.497
23.79686332,0.154240848,,
24.02960014,0.108494397,,
24.26455736,0.073918742,,
24.48807979,0.073282028,,
24.71403837,0.083278094,,
24.94398427,0.080725855,,
