timestamp_seconds,force_value,Time_S,Force_N,timestamp_seconds,force_value,Time_S,Force_N,timestamp_seconds,force_value,Time_S,Force_N,timestamp_seconds,force_value,Time_S,Force_N
0.078779459,0.21,0,0.095,0.080254793,0.08,0,0.196,0.070338964,0.18,0,0.196,0.083282709,0.08,0,0.698
0.078855991,0.21,0.2,0.296,0.080322266,0.08,0.2,0.397,0.070450783,0.13,0.2,0.397,0.08338809,0.08,0.2,0.296
0.078926802,0.13,0.4,0.296,0.08038497,0.08,0.4,0.296,0.070519924,0.13,0.4,0.095,0.083465576,0.08,0.4,0.497
0.078999758,0.13,0.6,0.397,0.080444813,0.21,0.6,0.397,0.070594788,0.13,0.6,0.497,0.083544731,0.08,0.6,0.598
0.079070091,0.13,0.8,0.296,0.080505848,0.21,0.8,0.196,0.070669174,0.13,0.8,0.095,0.083626986,0.08,0.8,0.397
0.079138041,0.08,1,0.196,0.080566168,0.21,1,0.497,0.070735216,0.13,1,0.296,0.083699703,0.08,1,0.397
0.079210758,0.08,1.2,0.497,0.080625534,0.21,1.2,0.497,0.070812464,0.08,1.2,0.397,0.083774805,0.08,1.2,0.296
0.079278231,0.08,1.4,0.196,0.080696344,0.28,1.4,0.296,0.07087636,0.08,1.4,0.196,0.083846331,0.08,1.4,0.196
0.079349518,0.18,1.6,0.296,0.080756426,0.18,1.6,0.598,0.070946932,0.08,1.6,0.397,0.083916187,0.08,1.6,0.497
0.079416513,0.18,1.8,0.397,0.080816507,0.18,1.8,0.296,0.071020842,0.08,1.8,0.296,0.083992243,0.08,1.8,0.196
0.079482794,0.18,2,0.397,0.080876112,0.18,2,0.296,0.071086645,0.08,2,0.296,0.084060907,0.08,2,0.296
0.079554081,0.28,2.2,0.397,0.080935717,0.18,2.2,0.397,0.07116437,0.08,2.2,0.397,0.084133387,0.08,2.2,0.397
0.079626322,0.34,2.4,0.296,0.080994844,0.08,2.4,0.397,0.071228266,0.08,2.4,0.196,0.084200382,0.08,2.4,0.296
0.079698086,0.28,2.6,0.196,0.081054688,0.08,2.6,0.497,0.071297169,0.13,2.6,0.296,0.084269047,0.08,2.6,0.296
0.07976532,0.28,2.8,0.397,0.081112862,0.08,2.8,0.296,0.071369886,0.18,2.8,0.296,0.084342241,0.08,2.8,0.296
0.079831839,0.28,3,0.095,0.081172228,0.08,3,0.095,0.071434021,0.18,3,-0.005,0.084407806,0.08,3,-0.005
0.079902172,0.21,3.2,0.296,0.081230402,0.08,3.2,0.397,0.071517229,0.18,3.2,0.397,0.084473372,0.08,3.2,0.397
0.080010653,0.13,3.4,0.196,0.081290245,0.08,3.4,0.196,0.071586847,0.21,3.4,0.296,0.084553003,0.08,3.4,0.095
0.173649788,0.13,3.6,0.196,0.081349373,0.08,3.6,0.296,0.071657658,0.18,3.6,0.095,0.084619045,0.08,3.6,0.397
0.399698496,0.13,3.8,0.497,0.081408978,0.08,3.8,0.497,0.071730852,0.13,3.8,0.397,0.084689856,0.08,3.8,0.296
0.627239227,0.13,4,0.196,0.081467867,0.08,4,0.095,0.071795702,0.13,4,0.095,0.084756851,0.08,4,-0.005
0.846949577,0.08,4.2,0.196,0.081530809,0.08,4.2,0.196,0.071873903,0.13,4.2,0.296,0.084820986,0.08,4.2,0.296
1.084127426,0.08,4.4,0.497,0.081589699,0.08,4.4,0.196,0.071943045,0.08,4.4,0.196,0.08488965,0.08,4.4,0.296
1.319687128,0.08,4.6,-0.005,0.139864206,0.08,4.6,0.095,0.121436119,0.18,4.6,0.196,0.084954023,0.08,4.6,0.296
1.541222572,0.08,4.8,0.397,0.336689472,0.08,4.8,0.698,0.31795311,0.18,4.8,2.105,0.188753128,0.08,4.8,6.225
1.766147375,0.13,5,5.321,0.56082201,0.08,5,10.244,0.545897722,0.18,5,17.178,0.402044773,0.08,5,22.604
1.990944624,0.13,5.01,6.024,0.783880711,0.08,5.01,10.244,0.78066206,0.18,5.01,17.58,0.63981986,0.08,5.01,23.408
2.235721827,0.13,5.21,5.723,1.009525776,0.08,5.21,9.34,1.022720814,0.18,5.21,17.479,0.878592253,0.08,5.21,24.413
2.443201303,0.13,5.41,5.522,1.250852108,0.08,5.41,8.737,1.224463224,0.08,5.41,17.077,1.108172894,0.08,5.41,23.81
2.69318223,0.13,5.61,5.421,1.466866016,0.08,5.61,8.737,1.448974371,0.13,5.61,16.776,1.340439796,0.08,5.61,24.011
2.904914618,0.08,5.81,5.321,1.700227499,0.08,5.81,8.536,1.690339327,0.13,5.81,16.776,1.554266214,0.08,5.81,23.71
3.138183117,0.08,6.01,5.12,1.913760424,0.08,6.01,8.536,1.908521891,0.13,6.01,16.776,1.772847414,0.08,6.01,23.207
3.354894876,0.08,6.21,5.522,2.151306152,0.08,6.21,8.737,2.132906914,0.13,6.21,16.776,2.018740654,0.08,6.21,23.207
3.594314575,0.08,6.41,5.22,2.387124062,0.08,6.41,8.436,2.36440444,0.13,6.41,16.475,2.246946812,0.08,6.41,23.207
3.827925205,0.08,6.61,5.22,2.59869957,0.08,6.61,8.637,2.593314171,0.08,6.61,16.676,2.474396467,0.08,6.61,23.207
