SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,force_value,,,,,
Compression1,1-Compress,0,41.672,0,0.095,0.08,,,,,
Compression1,1-Compress,0.2,41.604,0.068,0.196,0.08,,,,,
Compression1,1-Compress,0.4,41.528,0.144,0.296,0.08,,,,,
Compression1,1-Compress,0.6,41.453,0.219,-0.005,0.08,,,,,
Compression1,1-Compress,0.8,41.377,0.295,0.296,0.08,,,,,
Compression1,1-Compress,1,41.302,0.37,0.196,0.08,,,,,
Compression1,1-Compress,1.2,41.227,0.445,0.095,0.08,,,,,9.3
Compression1,1-Compress,1.4,41.151,0.521,0.296,0.08,,,,,14.38
Compression1,1-Compress,1.6,41.075,0.597,-0.005,0.08,,,,,14.9
Compression1,1-Compress,1.8,41,0.672,0.196,0.08,,,,,15.1
Compression1,1-Compress,2,40.924,0.748,0.397,0.08,,,,,15.59
Compression1,1-Compress,2.2,40.848,0.824,-0.005,0.08,,,,,15.23
Compression1,1-Compress,2.4,40.773,0.899,0.296,0.08,,,,,15.29
Compression1,1-Compress,2.6,40.697,0.975,0.095,0.08,,,,,15.28
Compression1,1-Compress,2.8,40.622,1.05,0.095,0.08,,,,,15.29
Compression1,1-Compress,3,40.546,1.126,0.397,0.08,,,,,15.23
Compression1,1-Compress,3.2,40.471,1.201,-0.005,0.08,,,,,15.47
Compression1,1-Compress,3.4,40.395,1.277,0.196,0.08,,,,,15.58
Compression1,1-Compress,3.6,40.32,1.352,0.296,0.08,,,,,15.51
Compression1,1-Compress,3.8,40.244,1.428,-0.005,0.08,,,,,15.46
Compression1,1-Compress,4,40.169,1.503,0.296,0.08,,,,,15.43
Compression1,1-Compress,4.2,40.093,1.579,0.196,0.08,,,,,15.4
Compression1,1-Compress,4.4,40.017,1.655,0.095,0.08,,,,,15.6
Compression1,1-Compress,4.6,39.942,1.73,0.497,0.08,,,,,15.71
Compression1,1-Compress,4.8,39.866,1.806,5.321,0.08,,,,,15.54
Compression1,1-Compress,5,39.799,1.873,16.274,0.08,,,,,15.62
Compression1,1-Hold,5.01,39.799,1.873,16.776,0.08,,,,,15.64
Compression1,1-Hold,5.21,39.799,1.873,16.977,0.08,,,,,3.14
Compression1,1-Hold,5.41,39.799,1.873,16.776,0.08,,,,,0.08
Compression1,1-Hold,5.61,39.799,1.873,16.575,0.08,,,,,0.08
Compression1,1-Hold,5.81,39.799,1.873,16.575,0.08,,,,,0.08
Compression1,1-Hold,6.01,39.799,1.873,16.676,0.08,,,,,0.08
Compression1,1-Hold,6.21,39.799,1.873,16.374,0.08,,,,,0.08
Compression1,1-Hold,6.41,39.799,1.873,16.676,0.08,,,,,0.08
Compression1,1-Hold,6.61,39.799,1.873,16.073,0.08,,,,,0.08
Compression1,1-Hold,6.81,39.799,1.873,15.972,0.08,,,,,0.08
Compression1,1-Hold,7.01,39.799,1.873,15.972,0.08,,,,,0.08
Compression1,1-Hold,7.21,39.799,1.873,15.972,0.08,,,,,0.08
Compression1,1-Hold,7.41,39.799,1.873,16.073,0.08,,,,,0.08
Compression1,1-Hold,7.61,39.799,1.873,15.972,0.08,,,,,0.08
Compression1,1-Hold,7.81,39.799,1.873,15.972,0.08,,,,,0.08
Compression1,1-Hold,8.01,39.799,1.873,15.972,0.08,,,,,0.08
Compression1,1-Hold,8.21,39.799,1.873,15.972,0.08,,,,,0.08
Compression1,1-Hold,8.41,39.799,1.873,15.972,0.08,,,,,
Compression1,1-Hold,8.61,39.799,1.873,15.972,0.08,,,,,
Compression1,1-Hold,8.81,39.799,1.873,15.972,0.08,,,,,
Compression1,1-Hold,9.01,39.799,1.873,15.972,0.08,,,,,
Compression1,1-Hold,9.21,39.799,1.873,15.972,0.08,,,,,
Compression1,1-Hold,9.41,39.799,1.873,15.771,0.08,,,,,
Compression1,1-Hold,9.61,39.799,1.873,15.972,0.08,,,,,
Compression1,1-Hold,9.81,39.799,1.873,15.872,0.08,,,,,
Compression1,1-Recover,10.01,39.799,1.873,15.771,0.08,,,,,
Compression1,1-Recover,10.21,39.87,1.802,2.005,0.08,,,,,
Compression1,1-Recover,10.41,39.946,1.726,0.397,0.08,,,,,
Compression1,1-Recover,10.61,40.021,1.651,0.296,0.08,,,,,
Compression1,1-Recover,10.81,40.097,1.575,-0.005,0.08,,,,,
Compression1,1-Recover,11.01,40.172,1.5,0.296,0.08,,,,,
Compression1,1-Recover,11.21,40.248,1.424,-0.005,0.08,,,,,
